task_id,category,status,failure_type,baseline_score,num_checkpoints,num_low_before,low_checkpoint_ids,low_fraction,route_name,routed_modules,suggested_modules,rationale,repaired_score,score_delta
98,Data Analysis & Quantitative Reasoning,heldout20_needs_route,multi-artifact deliverable realization failure,2.176470588235294,7,7,"[""cp1-1"", ""cp1-2"", ""cp2"", ""cp3"", ""cp4"", ""cp5"", ""cp6""]",1.0,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
108,Educational & Instructional Content,heldout20_needs_route,document artifact package realization failure,8.277777777777779,12,1,"[""cp6""]",0.08333333333333333,preservation_patch,"[""NonRegressionPreservation""]",[],high baseline with few low checkpoints; preserve sibling evidence,,
71,Planning & Decision Support,heldout20_needs_route,multi-artifact deliverable realization failure,7.9333333333333345,8,0,[],0.0,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
88,Information Retrieval & Knowledge QA,baseline_diagnosed_high,high-baseline artifact-ok control,9.9,10,0,[],0.0,manual_review,"[""ManualReview""]",[],no rule matched,,
122,Data Analysis & Quantitative Reasoning,heldout20_needs_route,document artifact package realization failure,8.466666666666667,8,1,"[""cp4-2""]",0.125,preservation_patch,"[""NonRegressionPreservation""]",[],high baseline with few low checkpoints; preserve sibling evidence,,
121,Information Retrieval & Knowledge QA,heldout20_needs_route,multi-artifact deliverable realization failure,1.0909090909090908,19,19,"[""cp1-1"", ""cp1-2"", ""cp1-3"", ""cp2-1"", ""cp2-2"", ""cp2-3"", ""cp3-1"", ""cp3-2"", ""cp3-3"", ""cp4-1"", ""cp4-2"", ""cp4-3"", ""cp5-1"", ""cp5-2"", ""cp5-3"", ""cp6-1"", ""cp6-2"", ""cp6-3"", ""cp7""]",1.0,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
151,Data Analysis & Quantitative Reasoning,heldout20_needs_route,multi-artifact deliverable realization failure,4.42016806722689,15,7,"[""cp1-1"", ""cp2-1"", ""cp4-2"", ""cp5-1"", ""cp6-2"", ""cp6-5"", ""cp7-1""]",0.4666666666666667,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
82,Educational & Instructional Content,heldout20_needs_route,multi-artifact deliverable realization failure,0.0,15,15,"[""cp1-1"", ""cp1-2"", ""cp1-3"", ""cp1-4"", ""cp2-1"", ""cp2-2"", ""cp2-3"", ""cp2-4"", ""cp3-1"", ""cp3-2"", ""cp3-3"", ""cp3-4"", ""cp4-1"", ""cp4-2"", ""cp4-3""]",1.0,multi_artifact_package_generation,"[""MultiArtifactPackageRepair""]",[],multiple promised deliverables are absent and must be materialized as a package,,
62,Creative Design & Expressive Generation,heldout20_needs_route,document artifact package realization failure,8.813333333333333,15,2,"[""cp3-2"", ""cp4-3""]",0.13333333333333333,preservation_patch,"[""NonRegressionPreservation""]",[],high baseline with few low checkpoints; preserve sibling evidence,,
90,Planning & Decision Support,heldout20_needs_route,document artifact package realization failure,9.529411764705882,11,0,[],0.0,document_package_generation,"[""SourceGroundedDocumentRepair"", ""DocumentPackageRepair""]",[],document/report artifacts and source-grounded sections are missing or not visible,,
